Strain1,Strain2,Distance
A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,A/ck/VN/NCVD-15A59/2015,2.828427125
A/gyrfalcon/Washington/41088-6/14_IDCDC-RG43A,A/tf.dk/Denmark/11740-1wp1/2016,2.828427125
A/mallard/Korea/W452/2014,A/duck/England/36254/2014,1.414213562
A/mallard/Korea/W452/2014,A/chicken/Kumamoto/1-7/2014,1.414213562
A/mallard/Korea/W452/2014,A/Sichuan/2622120/2014_RG42A,5.656854249
A/mallard/Korea/W452/2014,A/o.magpie_robin/HK/6154/2015,16
A/mallard/Korea/W452/2014,A/ck/VN/NCVD-15A59/2015,4
A/mallard/Korea/W452/2014,A/tf.dk/Denmark/11740-1wp1/2016,2.828427125
A/duck/England/36254/2014,A/chicken/Kumamoto/1-7/2014,1.414213562
A/duck/England/36254/2014,A/Sichuan/2622120/2014_RG42A,2
A/duck/England/36254/2014,A/o.magpie_robin/HK/6154/2015,16
A/duck/England/36254/2014,A/ck/VN/NCVD-15A59/2015,2
A/duck/England/36254/2014,A/tf.dk/Denmark/11740-1wp1/2016,1
A/chicken/Kumamoto/1-7/2014,A/Sichuan/2622120/2014_RG42A,2
A/chicken/Kumamoto/1-7/2014,A/o.magpie_robin/HK/6154/2015,11.3137085
A/chicken/Kumamoto/1-7/2014,A/ck/VN/NCVD-15A59/2015,2
A/chicken/Kumamoto/1-7/2014,A/tf.dk/Denmark/11740-1wp1/2016,2.828427125
A/Sichuan/2622120/2014_RG42A,A/o.magpie_robin/HK/6154/2015,11.3137085
A/Sichuan/2622120/2014_RG42A,A/ck/VN/NCVD-15A59/2015,2
A/Sichuan/2622120/2014_RG42A,A/tf.dk/Denmark/11740-1wp1/2016,11.3137085
A/o.magpie_robin/HK/6154/2015,A/ck/VN/NCVD-15A59/2015,11.3137085
A/o.magpie_robin/HK/6154/2015,A/tf.dk/Denmark/11740-1wp1/2016,16
A/ck/VN/NCVD-15A59/2015,A/tf.dk/Denmark/11740-1wp1/2016,4
A/c_magpie/Hong_Kong/5052/2007,A/Hubei/1/2010_IDCDC_RG-30_(HUB),4
A/c_magpie/Hong_Kong/5052/2007,A/b_swallow/Hong_Kong/1161/2010_SJ003_(BS),2.828427125
A/c_magpie/Hong_Kong/5052/2007,A/bh_goose/Mongolia/X53/2009_(HK),1
A/c_magpie/Hong_Kong/5052/2007,A/Hong_Kong/6841/2010_(HK),1
A/c_magpie/Hong_Kong/5052/2007,A/duck/Viet_Nam/NCVD-1584/2012_(HK),1.414213562
A/Hubei/1/2010_IDCDC_RG-30_(HUB),A/b_swallow/Hong_Kong/1161/2010_SJ003_(BS),2.828427125
A/Hubei/1/2010_IDCDC_RG-30_(HUB),A/bh_goose/Mongolia/X53/2009_(HK),2
A/Hubei/1/2010_IDCDC_RG-30_(HUB),A/Hong_Kong/6841/2010_(HK),1.414213562
A/Hubei/1/2010_IDCDC_RG-30_(HUB),A/duck/Viet_Nam/NCVD-1584/2012_(HK),2
A/b_swallow/Hong_Kong/1161/2010_SJ003_(BS),A/bh_goose/Mongolia/X53/2009_(HK),2.828427125
A/b_swallow/Hong_Kong/1161/2010_SJ003_(BS),A/Hong_Kong/6841/2010_(HK),2
A/b_swallow/Hong_Kong/1161/2010_SJ003_(BS),A/duck/Viet_Nam/NCVD-1584/2012_(HK),2.828427125
A/bh_goose/Mongolia/X53/2009_(HK),A/Hong_Kong/6841/2010_(HK),0.707106781
A/bh_goose/Mongolia/X53/2009_(HK),A/duck/Viet_Nam/NCVD-1584/2012_(HK),1
A/Hong_Kong/6841/2010_(HK),A/duck/Viet_Nam/NCVD-1584/2012_(HK),1
A/VIETNAM/1203/2004,A/INDONESIA/5/2005,16
A/VIETNAM/1203/2004,A/COMMON_MAGPIE/HK/645/06,2.828427125
A/VIETNAM/1203/2004,A/JAPANESE/WHITE_EYE/HK/1038/2006,16
A/INDONESIA/5/2005,A/COMMON_MAGPIE/HK/645/06,8
A/INDONESIA/5/2005,A/JAPANESE/WHITE_EYE/HK/1038/2006,32
A/COMMON_MAGPIE/HK/645/06,A/JAPANESE/WHITE_EYE/HK/1038/2006,2.828427125
A/Viet_Nam/1203/2004,A/w_swan/Mongolia/244/2005,128
A/Viet_Nam/1203/2004,A/bh_goose/Qinghai/1A/2005,8
A/Viet_Nam/1203/2004,A/turkey/Turkey/1/2005,32
A/Viet_Nam/1203/2004,A/Egypt/321-NAMRU3/2007,11.3137085
A/Viet_Nam/1203/2004,A/Egypt/394-NAMRU3/2007,45.254834
A/Viet_Nam/1203/2004,A/Egypt/0215-NAMRU3/2007,32
A/Viet_Nam/1203/2004,A/Egypt/3300-NAMRU3/2008,16
A/w_swan/Mongolia/244/2005,A/bh_goose/Qinghai/1A/2005,4
A/w_swan/Mongolia/244/2005,A/turkey/Turkey/1/2005,1.414213562
A/w_swan/Mongolia/244/2005,A/Egypt/321-NAMRU3/2007,2
A/w_swan/Mongolia/244/2005,A/Egypt/394-NAMRU3/2007,2.828427125
A/w_swan/Mongolia/244/2005,A/Egypt/0215-NAMRU3/2007,2
A/w_swan/Mongolia/244/2005,A/Egypt/3300-NAMRU3/2008,32
A/bh_goose/Qinghai/1A/2005,A/turkey/Turkey/1/2005,2
A/bh_goose/Qinghai/1A/2005,A/Egypt/321-NAMRU3/2007,5.656854249
A/bh_goose/Qinghai/1A/2005,A/Egypt/394-NAMRU3/2007,5.656854249
A/bh_goose/Qinghai/1A/2005,A/Egypt/0215-NAMRU3/2007,2.828427125
A/bh_goose/Qinghai/1A/2005,A/Egypt/3300-NAMRU3/2008,4
A/turkey/Turkey/1/2005,A/Egypt/321-NAMRU3/2007,1.414213562
A/turkey/Turkey/1/2005,A/Egypt/394-NAMRU3/2007,1.414213562
A/turkey/Turkey/1/2005,A/Egypt/0215-NAMRU3/2007,1.414213562
A/turkey/Turkey/1/2005,A/Egypt/3300-NAMRU3/2008,16
A/Egypt/321-NAMRU3/2007,A/Egypt/394-NAMRU3/2007,2
A/Egypt/321-NAMRU3/2007,A/Egypt/0215-NAMRU3/2007,1.414213562
A/Egypt/321-NAMRU3/2007,A/Egypt/3300-NAMRU3/2008,22.627417
A/Egypt/394-NAMRU3/2007,A/Egypt/0215-NAMRU3/2007,4
A/Egypt/394-NAMRU3/2007,A/Egypt/3300-NAMRU3/2008,16
A/Egypt/0215-NAMRU3/2007,A/Egypt/3300-NAMRU3/2008,8
A/VIETNAM/1203/2004,A/DUCK/HUNAN/795/2002,16
A/VIETNAM/1203/2004,A/WHOOPER_SWAN/MG/244/2005,90.50966799
A/VIETNAM/1203/2004,A/TURKEY/65-596/2006,90.50966799
A/VIETNAM/1203/2004,A/BARHEADED_GOOSE/QINGHAI/1A/2005xPR8,16
A/VIETNAM/1203/2004,A/CHICKEN/INDIA/NIV-33487/2006,32
A/VIETNAM/1203/2004,A/EGYPT/321-NAMRU3/2007,32
A/VIETNAM/1203/2004,A/CHICKEN/KOREA/GIMJE/2008,64
A/VIETNAM/1203/2004,A/ANHUI/1/2005,181.019336
A/VIETNAM/1203/2004,A/ANHUI/1/2005xPR8_IBCDC_RG-6,11.3137085
A/VIETNAM/1203/2004,A/CHICKEN/MALAYSIA/935/2006,16
A/VIETNAM/1203/2004,A/GOOSE/GUIYANG/337/2006,8
A/VIETNAM/1203/2004,A/CHICKEN/VIETNAM/NCVD-016/2008,90.50966799
A/INDONESIA/5/2005,A/DUCK/HUNAN/795/2002,1.414213562
