Strain1,Strain2,Distance
A/TEXAS/36/91,A/BEIJING/262/1995,16.0
A/TEXAS/36/91,A/PHILIPPINES/8/98,32.0
A/TEXAS/36/91,A/NEW_CALEDONIA/20/1999,64.0
A/JOHANNESBURG/82/96,A/BEIJING/262/1995,11.313708499
A/JOHANNESBURG/82/96,A/PHILIPPINES/8/98,11.313708499
A/JOHANNESBURG/82/96,A/NEW_CALEDONIA/20/1999,22.627416998
A/BEIJING/262/1995,A/PHILIPPINES/8/98,1.0
A/PHILIPPINES/8/98,A/NEW_CALEDONIA/20/1999,8.0
A/BEIJING/262/1995,A/JOHANNESBURG/82/96,22.627416998
A/BEIJING/262/1995,A/MOSCOW/13/98,32.0
A/NEW_CALEDONIA/20/1999,A/JOHANNESBURG/82/96,64.0
A/NEW_CALEDONIA/20/1999,A/MOSCOW/13/98,45.2548339959
A/JOHANNESBURG/82/96,A/MOSCOW/13/98,1.0
A/BEIJING/262/1995,A/HONG_KONG/1252/00,11.313708499
A/BEIJING/262/1995,A/CHILE/4795/2000,64.0
A/NEW_CALEDONIA/20/1999,A/HONG_KONG/1252/00,4.0
A/NEW_CALEDONIA/20/1999,A/CHILE/4795/2000,32.0
A/HONG_KONG/1252/00,A/JOHANNESBURG/82/96,90.5096679919
A/HONG_KONG/1252/00,A/CHILE/4795/2000,64.0
A/JOHANNESBURG/82/96,A/CHILE/4795/2000,2.0
A/FUJIAN/156/2000,A/JOHANNESBURG/82/96,64.0
A/FUJIAN/156/2000,A/CHILE/4795/2000,64.0
A/BAYERN/07/95,A/JOHANNESBURG/82/96,0.5
A/BAYERN/07/95,A/FUJIAN/156/2000,128.0
